xhat x, xhat y, xhat heading, traj x, traj y, traj heading, left volt, right volt
0,0,0,0,0,0,0,0
0,0,0,0.000415284,4.04838e-07,1.15072e-05,1.90542,1.90549
0.000575422,3.96718e-11,1.41446e-07,0.00166114,1.61935e-06,4.60288e-05,1.90979,1.91056
0.00223367,1.54126e-09,2.00245e-06,0.00373756,3.64354e-06,0.000103565,1.94987,1.95182
0.00489116,1.50524e-08,8.93359e-06,0.00664455,6.4774e-06,0.000184115,2.0153,2.01901
0.00849012,7.45754e-08,2.55065e-05,0.0103821,1.01209e-05,0.00028768,2.09862,2.10471
0.0129909,2.56598e-07,5.74495e-05,0.0149502,1.45742e-05,0.000414259,2.19446,2.20359
0.0183667,7.02834e-07,0.00011144,0.0203489,1.9837e-05,0.000563853,2.299,2.31183
0.0245996,1.64603e-06,0.000194957,0.0265782,2.59096e-05,0.000736461,2.40948,2.4267
0.0316778,3.43833e-06,0.000316147,0.033638,3.27918e-05,0.000932084,2.52397,2.54628
0.0395936,6.58172e-06,0.000483684,0.0415284,4.04838e-05,0.00115072,2.64109,2.66919
0.0483424,1.17598e-05,0.000706635,0.0502494,4.89853e-05,0.00139237,2.7599,2.79447
0.0579213,1.98702e-05,0.000994322,0.059801,5.82966e-05,0.00165704,2.87973,2.92144
0.0683289,3.20574e-05,0.00135619,0.0701831,6.84175e-05,0.00194472,3.00014,3.04962
0.0795642,4.97443e-05,0.00180168,0.0813958,7.93482e-05,0.00225541,3.12081,3.17868
0.0916272,7.46631e-05,0.00234009,0.093439,9.10884e-05,0.00258912,3.24156,3.30837
0.104518,0.000108884,0.00298048,0.106312,0.000111986,0.00302333,3.33136,3.40882
0.118227,0.000154822,0.00373409,0.119942,0.000202836,0.0041211,3.19818,3.2958
0.132672,0.000215096,0.00463244,0.13428,0.000298411,0.00527596,3.31469,3.42764
0.147788,0.000293064,0.00570612,0.149328,0.00039871,0.00648791,3.42688,3.55376
0.163588,0.000392985,0.0069651,0.165084,0.000503735,0.00775695,3.53553,3.67624
0.180079,0.000519611,0.00841369,0.181549,0.000613483,0.00908308,3.64164,3.79611
0.197267,0.000678149,0.0100547,0.198723,0.000727957,0.0104663,3.74597,3.91407
0.215156,0.000874257,0.0118896,0.216591,0.000927369,0.0122714,3.69036,3.87919
0.233703,0.0011135,0.0139346,0.235026,0.00125312,0.0146807,3.55279,3.76848
0.252796,0.00140112,0.0162274,0.254001,0.00158839,0.0171604,3.64704,3.88192
0.272382,0.00174376,0.0187911,0.273515,0.00193319,0.0197106,3.7361,3.98713
0.292476,0.00214951,0.021621,0.293568,0.00228752,0.0223312,3.82095,4.08692
0.313088,0.00262674,0.0247055,0.31416,0.00267027,0.0250798,3.87811,4.15936
0.334218,0.00318377,0.0280348,0.335178,0.00337795,0.0288501,3.53669,3.85423
0.35574,0.00382569,0.0316467,0.356545,0.00409741,0.0326832,3.60929,3.94815
0.377548,0.0045585,0.035577,0.378262,0.00482865,0.036579,3.67583,4.02983
0.399663,0.00539205,0.0398097,0.400329,0.00557167,0.0405376,3.73695,4.10377
0.422098,0.00633593,0.0443169,0.42273,0.00647448,0.0449006,3.65731,4.04505
0.444822,0.00739759,0.0490909,0.445326,0.00770459,0.0500424,3.41154,3.83278
0.467719,0.00858019,0.0541685,0.468087,0.00894374,0.0552219,3.45645,3.89472
0.49072,0.00988907,0.059565,0.491015,0.0101919,0.0604392,3.49603,3.94474
0.513844,0.0113336,0.0652464,0.514109,0.0114491,0.0656943,3.53079,3.98705
0.537103,0.0129221,0.0711693,0.537272,0.0132295,0.0719522,3.22446,3.71863
0.560406,0.0146553,0.0773615,0.560438,0.0150785,0.0783408,3.20316,3.71595
0.583661,0.0165333,0.0838595,0.583612,0.016928,0.0847314,3.22158,3.74194
0.606871,0.018563,0.0906298,0.606793,0.0187781,0.091124,3.23542,3.75912
0.630051,0.0207508,0.0976184,0.629922,0.0210281,0.0981596,3.07054,3.62012
0.653157,0.0230972,0.104826,0.652921,0.0235503,0.105619,2.9496,3.52286
0.676118,0.0255989,0.112291,0.675806,0.02606,0.113041,2.94843,3.52716
0.698911,0.0282576,0.119998,0.698576,0.0285572,0.120426,2.94437,3.52236
0.721547,0.0310773,0.127889,0.721197,0.0312805,0.128109,2.87259,3.46189
0.744015,0.0340581,0.135935,0.743578,0.0345018,0.136463,2.71848,3.33849
0.766267,0.0371946,0.144181,0.765765,0.0376952,0.144744,2.70177,3.32542
0.788273,0.0404841,0.152636,0.787759,0.0408608,0.152953,2.68429,3.30389
0.810041,0.0439282,0.161241,0.809559,0.0439985,0.16109,2.66496,3.27704
0.831575,0.0475268,0.16993,0.831015,0.0479056,0.170137,2.52591,3.17897
0.852852,0.0512736,0.178754,0.852236,0.0517796,0.179098,2.49698,3.15333
0.873846,0.0551641,0.187758,0.873225,0.0556111,0.18796,2.47227,3.12261
0.894563,0.0591979,0.196887,0.893981,0.0594001,0.196723,2.45111,3.09168
0.915008,0.0633735,0.206074,0.914408,0.0636065,0.205887,2.34491,3.00432
0.935163,0.0676839,0.215323,0.93452,0.0681413,0.215353,2.52068,3.19099
0.955078,0.0721369,0.224678,0.954392,0.0726223,0.224707,1.70125,2.39408
0.974581,0.0766909,0.234176,0.974026,0.0770493,0.233948,4.88425,5.45217
0.994391,0.0815167,0.243556,0.99342,0.0814224,0.243077,-6.82132,-5.8226
1.012,0.0859777,0.253527,1.01238,0.0865453,0.252846,12,11.7605
1.02966,0.0906457,0.262118,1.03111,0.0916528,0.262543,-12,-11.4064
1.04565,0.0949902,0.269126,1.04962,0.0966998,0.272125,11.438,12
1.06029,0.0990881,0.276507,1.06791,0.101686,0.281592,11.439,12
1.08027,0.104846,0.284095,1.08593,0.106745,0.291048,-12,-11.2549
1.09835,0.110196,0.29222,1.10354,0.112454,0.300949,-12,-11.1902
1.10816,0.113188,0.301221,1.12096,0.118102,0.310744,-12,-11.2003
1.11049,0.113916,0.310955,1.1382,0.123688,0.320433,-12,-11.1797
1.10604,0.112458,0.321244,1.15524,0.129212,0.330014,-12,-11.3267
1.09546,0.10887,0.33166,1.17204,0.13481,0.339573,-12,-10.8034
1.0794,0.103234,0.342999,1.18844,0.141038,0.349458,-12,-10.8681
1.05846,0.0956012,0.355861,1.20469,0.147209,0.359252,-12,-10.3856
1.03322,0.0860039,0.370723,1.22079,0.153321,0.368955,-12,-10.425
1.00419,0.0744338,0.387862,1.23673,0.159377,0.378566,-12,-9.56544
0.971947,0.0608808,0.408393,1.25252,0.165374,0.388086,10.2749,12
0.943057,0.048004,0.431503,1.26786,0.17209,0.397862,10.0032,12
0.92299,0.0384913,0.455704,1.28308,0.17878,0.407576,-12,-10.6391
0.904776,0.0292758,0.479861,1.29819,0.18542,0.417217,-12,-10.6977
0.882457,0.0173215,0.502655,1.31319,0.192011,0.426787,9.53291,12
0.862324,0.00596327,0.526822,1.32807,0.198552,0.436285,9.15222,12
0.849714,-0.00158324,0.554999,1.34263,0.2055,0.445826,-12,-9.12791
0.838386,-0.00887181,0.586848,1.35697,0.212715,0.45539,-12,-9.47052
0.823086,-0.0194389,0.620669,1.37123,0.219892,0.464902,8.6257,12
0.809459,-0.029523,0.657054,1.38542,0.227031,0.474364,8.49148,12
0.80218,-0.0353402,0.69718,1.39953,0.234131,0.483775,-12,-7.41869
0.795863,-0.0408991,0.742537,1.41353,0.241249,0.493138,-12,0.189999
0.787082,-0.0494871,0.809839,1.42712,0.249004,0.502486,-12,1.01558
0.777562,-0.0605061,0.909192,1.44067,0.256733,0.511805,-12,-0.18505
0.768122,-0.0742787,1.03072,1.45417,0.264438,0.521094,-12,6.84465
0.760107,-0.0901186,1.18088,1.46763,0.272119,0.530352,-12,6.48524
0.754858,-0.107059,1.36431,1.48105,0.279774,0.539581,-12,9.10368
0.753061,-0.124344,1.57665,1.49423,0.287714,0.548726,-12,9.51572
0.755089,-0.140825,1.8157,1.50718,0.296017,0.557788,-12,11.7483
0.760736,-0.155268,2.07957,1.5201,0.304311,0.566841,-12,11.9822
0.769277,-0.166547,2.3661,1.53302,0.312595,0.575882,-11.7849,12
0.779671,-0.174088,2.66903,1.54591,0.320869,0.584913,-11.626,12
0.790684,-0.177726,2.98308,1.5588,0.329134,0.593934,-11.233,12
0.801068,-0.177742,3.30403,1.57134,0.337888,0.602745,-11.0759,12
0.809798,-0.174837,3.6289,1.58379,0.346797,0.611501,-8.70359,12
0.815996,-0.170193,3.95125,1.59624,0.355712,0.620265,12,-10.8992
0.819812,-0.165036,4.17487,1.60871,0.364635,0.629035,12,-11.5096
0.82247,-0.160088,4.24306,1.62119,0.373564,0.637812,11.8558,-12
0.824825,-0.155606,4.19709,1.63364,0.382549,0.646564,-12,11.9535
0.827206,-0.151627,4.16936,1.6457,0.392103,0.654971,-10.9632,12
0.829207,-0.148083,4.2435,1.65779,0.401682,0.6634,-11.9952,12
0.830595,-0.144815,4.39153,1.66992,0.411286,0.671852,-11.9933,12
0.831314,-0.141669,4.59487,1.68207,0.420915,0.680325,-12,11.9709
0.831315,-0.13873,4.83813,1.69426,0.430569,0.68882,-11.9843,12
0.830634,-0.136143,5.1102,1.70628,0.440489,0.697122,12,-11.9716
0.829454,-0.134018,5.30145,1.71808,0.450769,0.705169,12,-11.676
0.828197,-0.132257,5.34387,1.72993,0.461094,0.713252,-11.8965,12
0.827057,-0.130729,5.38021,1.74184,0.471462,0.721369,-11.9976,12
0.825921,-0.129439,5.5027,1.7538,0.481876,0.729521,-11.987,12
0.824721,-0.128441,5.6876,1.7658,0.492333,0.737708,-12,11.9923
0.823467,-0.127778,5.91757,1.77746,0.503287,0.745419,11.9979,-12
0.82222,-0.12743,6.07836,1.78913,0.514379,0.753091,-11.9998,12
0.821055,-0.127252,6.1998,1.80086,0.525535,0.760809,11.9945,-12
0.819981,-0.127219,6.28224,1.81266,0.536757,0.768573,-11.9771,12
0.819006,-0.127242,6.34703,1.82453,0.548045,0.776382,12,-11.9976
0.818126,-0.127325,6.3885,1.83628,0.559594,0.783959,-11.9938,12
0.817328,-0.127417,6.42374,1.84784,0.571508,0.79119,12,-11.9934
0.816608,-0.127534,6.4439,1.85948,0.58351,0.798474,12,-11.999
0.815951,-0.127618,6.36202,1.8712,0.595601,0.805813,11.9959,-12
0.815348,-0.127622,6.20644,1.88301,0.607781,0.813205,-11.9924,12
0.814805,-0.127545,6.09935,1.89486,0.620095,0.82057,11.9946,-12
0.814317,-0.127437,6.0167,1.90639,0.632901,0.827334,-12,11.9582
0.813877,-0.127299,5.96222,1.91802,0.64582,0.834158,-11.9914,12
0.813471,-0.127173,6.01922,1.92975,0.658853,0.841042,11.9959,-12
0.813096,-0.127083,6.0551,1.94159,0.672001,0.847986,-12,11.957
0.812746,-0.127004,6.08622,1.95353,0.685262,0.85499,-12,11.979
0.812414,-0.126956,6.20503,1.96514,0.699036,0.861282,-12,11.9901
0.812104,-0.126958,6.38723,1.97685,0.712961,0.867623,-12,11.9979
0.811827,-0.127018,6.61527,1.98869,0.727028,0.874028,-11.9975,12
0.811596,-0.127132,6.87643,2.00065,0.741237,0.880499,-11.9928,12
0.811422,-0.127288,7.16149,2.0127,0.755605,0.886997,-11.987,12
0.811314,-0.127466,7.46381,2.02448,0.770471,0.892766,-11.9738,12
0.81127,-0.127646,7.77854,2.03639,0.785513,0.898603,-11.8616,12
0.811281,-0.127788,8.10198,2.04844,0.800729,0.904508,12,-11.9562
0.811319,-0.127885,8.33013,2.06063,0.81612,0.91048,12,-11.9785
0.811361,-0.127959,8.3986,2.07283,0.831789,0.916245,12,-11.9818
0.811397,-0.128021,8.35168,2.0849,0.847876,0.921487,12,-11.9797
