second,Ampere
-5.00000E-03,+304.10157E-03
-4.99000E-03,+302.34375E-03
-4.98000E-03,+300.19532E-03
-4.97000E-03,+299.21875E-03
-4.96000E-03,+296.48438E-03
-4.95000E-03,+295.31250E-03
-4.94000E-03,+293.55469E-03
-4.93000E-03,+291.01563E-03
-4.92000E-03,+290.03907E-03
-4.91000E-03,+287.30469E-03
-4.90000E-03,+285.93750E-03
-4.89000E-03,+283.98438E-03
-4.88000E-03,+281.25000E-03
-4.87000E-03,+280.46875E-03
-4.86000E-03,+277.34375E-03
-4.85000E-03,+275.78125E-03
-4.84000E-03,+273.43750E-03
-4.83000E-03,+270.50782E-03
-4.82000E-03,+269.33594E-03
-4.81000E-03,+266.40625E-03
-4.80000E-03,+264.84375E-03
-4.79000E-03,+262.89063E-03
-4.78000E-03,+259.76563E-03
-4.77000E-03,+258.39844E-03
-4.76000E-03,+255.07813E-03
-4.75000E-03,+253.12500E-03
-4.74000E-03,+251.17188E-03
-4.73000E-03,+248.24219E-03
-4.72000E-03,+246.87500E-03
-4.71000E-03,+243.75000E-03
-4.70000E-03,+241.99219E-03
-4.69000E-03,+239.64844E-03
-4.68000E-03,+236.32813E-03
-4.67000E-03,+234.96094E-03
-4.66000E-03,+231.64063E-03
-4.65000E-03,+229.10157E-03
-4.64000E-03,+226.56250E-03
-4.63000E-03,+223.43750E-03
-4.62000E-03,+221.87500E-03
-4.61000E-03,+218.55469E-03
-4.60000E-03,+216.21094E-03
-4.59000E-03,+213.67188E-03
-4.58000E-03,+209.76563E-03
-4.57000E-03,+208.20313E-03
-4.56000E-03,+204.49219E-03
-4.55000E-03,+201.75782E-03
-4.54000E-03,+199.41407E-03
-4.53000E-03,+195.50782E-03
-4.52000E-03,+193.75000E-03
-4.51000E-03,+190.23438E-03
-4.50000E-03,+187.50000E-03
-4.49000E-03,+185.15625E-03
-4.48000E-03,+181.44532E-03
-4.47000E-03,+179.49219E-03
-4.46000E-03,+176.17188E-03
-4.45000E-03,+173.04688E-03
-4.44000E-03,+170.70313E-03
-4.43000E-03,+166.99219E-03
-4.42000E-03,+164.84375E-03
-4.41000E-03,+161.32813E-03
-4.40000E-03,+158.20313E-03
-4.39000E-03,+155.66406E-03
-4.38000E-03,+151.56250E-03
-4.37000E-03,+149.60938E-03
-4.36000E-03,+146.28906E-03
-4.35000E-03,+142.96875E-03
-4.34000E-03,+140.23438E-03
-4.33000E-03,+136.13281E-03
-4.32000E-03,+133.98438E-03
-4.31000E-03,+130.46875E-03
-4.30000E-03,+127.14844E-03
-4.29000E-03,+124.80469E-03
-4.28000E-03,+120.89844E-03
-4.27000E-03,+118.55469E-03
-4.26000E-03,+115.03906E-03
-4.25000E-03,+111.32813E-03
-4.24000E-03,+108.98438E-03
-4.23000E-03,+104.88281E-03
-4.22000E-03,+102.34375E-03
-4.21000E-03,+98.63281E-03
-4.20000E-03,+95.11719E-03
-4.19000E-03,+92.96875E-03
-4.18000E-03,+88.47656E-03
-4.17000E-03,+85.74219E-03
-4.16000E-03,+81.83594E-03
-4.15000E-03,+78.32031E-03
-4.14000E-03,+75.78125E-03
-4.13000E-03,+71.87500E-03
-4.12000E-03,+69.14063E-03
-4.11000E-03,+65.82031E-03
-4.10000E-03,+62.10938E-03
-4.09000E-03,+59.76563E-03
-4.08000E-03,+55.66406E-03
-4.07000E-03,+52.92969E-03
-4.06000E-03,+49.60938E-03
-4.05000E-03,+46.09375E-03
-4.04000E-03,+43.75000E-03
-4.03000E-03,+39.45313E-03
-4.02000E-03,+36.52344E-03
-4.01000E-03,+33.00781E-03
-4.00000E-03,+29.29688E-03
-3.99000E-03,+27.14844E-03
-3.98000E-03,+23.24219E-03
-3.97000E-03,+20.31250E-03
-3.96000E-03,+16.79688E-03
-3.95000E-03,+13.08594E-03
-3.94000E-03,+10.93750E-03
-3.93000E-03,+7.22656E-03
-3.92000E-03,+4.49219E-03
-3.91000E-03,+1.36719E-03
-3.90000E-03,-1.95313E-03
-3.89000E-03,-3.90625E-03
-3.88000E-03,-8.00781E-03
-3.87000E-03,-10.74219E-03
-3.86000E-03,-13.67188E-03
-3.85000E-03,-17.57813E-03
-3.84000E-03,-19.72656E-03
-3.83000E-03,-23.63281E-03
-3.82000E-03,-26.17188E-03
-3.81000E-03,-29.29688E-03
-3.80000E-03,-33.20313E-03
-3.79000E-03,-35.35156E-03
-3.78000E-03,-39.25781E-03
-3.77000E-03,-41.99219E-03
-3.76000E-03,-44.53125E-03
-3.75000E-03,-48.24219E-03
-3.74000E-03,-50.39063E-03
-3.73000E-03,-54.29688E-03
