loc,time,ax,ay,az,temp,press,alt,avalt,avaltdelta,state,wx_raw,wy_raw,wz_raw,pyro
12402560, 4180854, 1.00, -0.00, -0.00, 1952.85, 101328.77, 17.12, 17.21, 0, 2, 17, 42, -34, 34
12402624, 4180955, 1.00, 0.00, -0.00, 1952.33, 101321.99, 17.69, 17.20, 0, 2, 18, 43, -39, 34
12402688, 4181051, 1.00, 0.00, -0.00, 1952.79, 101329.25, 17.08, 17.20, 0, 2, 18, 41, -31, 34
12402752, 4181151, 1.00, 0.00, 0.00, 1953.07, 101329.27, 17.08, 17.20, 0, 2, 18, 48, -27, 34
12402816, 4181252, 1.00, -0.00, 0.00, 1952.85, 101324.35, 17.49, 17.18, 0, 2, 15, 43, -29, 34
12402880, 4181352, 0.99, -0.00, 0.00, 1952.96, 101323.44, 17.56, 17.21, 0, 2, 10, 45, -33, 34
12402944, 4181450, 1.00, -0.01, 0.00, 1953.04, 101329.80, 17.04, 17.21, 0, 2, 12, 41, -29, 34
12403008, 4181551, 1.00, -0.01, 0.00, 1952.66, 101328.66, 17.13, 17.19, 0, 2, 9, 41, -34, 34
12403072, 4181651, 1.00, -0.00, -0.00, 1952.60, 101327.66, 17.21, 17.20, 0, 2, 14, 39, -31, 34
12403136, 4181749, 1.00, -0.00, 0.00, 1952.71, 101330.83, 16.95, 17.19, 0, 2, 21, 46, -36, 34
12403200, 4181850, 1.00, 0.00, -0.00, 1952.38, 101333.89, 16.69, 17.18, 0, 2, 10, 45, -30, 34
12403264, 4181950, 1.00, -0.01, 0.00, 1952.57, 101329.89, 17.03, 17.15, 0, 2, 6, 42, -32, 34
12403328, 4182050, 1.00, -0.00, 0.00, 1952.74, 101330.32, 16.99, 17.14, 0, 2, 15, 47, -39, 34
12403392, 4182149, 1.00, -0.00, 0.00, 1952.74, 101329.14, 17.09, 17.14, 0, 2, 19, 41, -31, 34
12403456, 4182249, 1.00, -0.00, -0.00, 1952.74, 101328.25, 17.16, 17.14, 0, 2, 11, 33, -33, 34
12403520, 4182349, 1.00, 0.00, -0.00, 1952.55, 101329.25, 17.08, 17.13, 0, 2, 13, 40, -29, 34
12403584, 4182448, 1.00, -0.00, -0.00, 1952.52, 101329.19, 17.09, 17.14, 0, 2, 21, 41, -33, 34
12403648, 4182548, 1.00, 0.01, -0.00, 1952.66, 101327.47, 17.23, 17.15, 0, 2, 18, 46, -27, 34
12403712, 4182650, 1.00, -0.01, -0.00, 1952.52, 101327.42, 17.23, 17.17, 0, 2, 6, 40, -28, 34
12403776, 4182751, 1.00, -0.00, 0.00, 1952.57, 101332.25, 16.83, 17.16, 0, 2, 11, 44, -35, 34
12403840, 4182849, 1.00, -0.00, 0.00, 1952.41, 101328.36, 17.15, 17.14, 0, 2, 15, 40, -36, 34
12403904, 4182951, 1.00, -0.00, -0.00, 1952.08, 101324.99, 17.43, 17.14, 0, 2, 19, 37, -35, 34
12403968, 4183052, 1.00, 0.00, -0.00, 1952.46, 101328.49, 17.14, 17.13, 0, 2, 14, 46, -35, 34
12404032, 4183150, 1.00, -0.00, 0.00, 1952.30, 101328.11, 17.18, 17.13, 0, 2, 12, 50, -26, 34
12404096, 4183252, 1.00, 0.00, 0.00, 1952.19, 101322.58, 17.63, 17.14, 0, 2, 16, 46, -31, 34
12404160, 4183351, 1.00, -0.00, 0.00, 1952.38, 101324.49, 17.48, 17.14, 0, 2, 14, 45, -31, 34
12404224, 4183451, 1.00, -0.00, 0.00, 1952.22, 101331.16, 16.92, 17.14, 0, 2, 9, 46, -33, 34
12404288, 4183549, 1.00, -0.00, 0.00, 1952.08, 101324.39, 17.48, 17.13, 0, 2, 9, 38, -34, 34
12404352, 4183650, 1.00, -0.00, -0.00, 1952.00, 101324.78, 17.45, 17.15, 0, 2, 18, 38, -28, 34
12404416, 4183748, 1.00, -0.00, -0.00, 1952.11, 101324.74, 17.46, 17.16, 0, 2, 16, 39, -29, 34
12404480, 4183848, 1.00, -0.00, -0.00, 1952.16, 101323.39, 17.57, 17.19, 0, 2, 12, 46, -29, 34
12404544, 4183949, 1.00, 0.00, 0.00, 1951.70, 101328.22, 17.16, 17.23, 0, 2, 13, 43, -30, 34
12404608, 4184049, 1.00, -0.01, 0.00, 1952.05, 101328.42, 17.15, 17.24, 0, 2, 20, 44, -28, 34
12404672, 4184147, 1.00, -0.00, 0.00, 1952.22, 101329.11, 17.09, 17.25, 0, 2, 14, 42, -35, 34
12404736, 4184248, 1.00, -0.00, 0.00, 1952.11, 101322.69, 17.63, 17.25, 0, 2, 16, 44, -29, 34
12404800, 4184348, 0.99, -0.00, 0.00, 1951.89, 101324.24, 17.50, 17.27, 0, 2, 13, 42, -33, 34
12404864, 4184449, 1.00, -0.00, -0.00, 1951.83, 101329.71, 17.04, 17.29, 0, 2, 10, 44, -28, 34
12404928, 4184547, 1.00, -0.00, -0.00, 1951.83, 101324.71, 17.46, 17.29, 0, 2, 11, 45, -25, 34
12404992, 4184647, 1.00, -0.00, -0.00, 1951.97, 101321.78, 17.70, 17.30, 0, 2, 15, 45, -30, 34
12405056, 4184748, 1.00, -0.01, -0.00, 1951.78, 101326.33, 17.32, 17.32, 0, 2, 17, 44, -30, 34
12405120, 4184846, 1.00, -0.01, -0.00, 1951.64, 101326.03, 17.35, 17.35, 0, 2, 18, 43, -38, 34
12405184, 4184946, 1.00, 0.00, 0.00, 1951.81, 101326.42, 17.32, 17.36, 0, 2, 14, 44, -36, 34
12405248, 4185047, 1.00, -0.01, 0.00, 1951.78, 101325.75, 17.37, 17.35, 0, 2, 23, 43, -34, 34
12405312, 4185147, 1.00, -0.00, 0.00, 1951.37, 101324.25, 17.49, 17.36, 0, 2, 14, 43, -31, 34
12405376, 4185245, 1.00, 0.01, 0.00, 1951.53, 101321.66, 17.71, 17.38, 0, 2, 15, 41, -28, 34
12405440, 4185348, 1.00, 0.00, 0.00, 1951.42, 101324.38, 17.49, 17.38, 0, 2, 8, 42, -23, 34
12405504, 4185446, 1.00, -0.01, -0.00, 1951.34, 101321.25, 17.75, 17.38, 0, 2, 7, 38, -33, 34
12405568, 4185546, 1.00, -0.00, -0.00, 1951.64, 101323.67, 17.54, 17.42, 0, 2, 16, 45, -35, 34
12405632, 4185649, 1.00, -0.00, -0.00, 1951.39, 101323.44, 17.56, 17.43, 0, 2, 11, 42, -28, 34
12405696, 4185747, 1.00, -0.01, -0.00, 1951.26, 101323.11, 17.59, 17.43, 0, 2, 26, 48, -37, 34
12405760, 4185847, 1.00, 0.00, -0.00, 1951.42, 101323.80, 17.53, 17.44, 0, 2, 22, 48, -35, 34
12405824, 4185950, 1.00, 0.01, 0.01, 1951.39, 101318.74, 17.95, 17.44, 0, 2, 12, 43, -26, 34
12405888, 4186050, 1.00, -0.01, 0.01, 1951.07, 101323.55, 17.56, 17.48, 0, 2, 14, 36, -31, 34
12405952, 4186152, 1.00, 0.00, -0.00, 1951.23, 101327.74, 17.21, 17.50, 0, 2, 10, 33, -31, 34
12406016, 4186251, 1.00, 0.00, -0.00, 1951.48, 101328.02, 17.18, 17.50, 0, 2, 5, 34, -24, 34
12406080, 4186351, 1.00, -0.01, -0.01, 1951.28, 101326.42, 17.32, 17.48, 0, 2, 7, 43, -29, 34
12406144, 4186451, 1.00, 0.00, -0.01, 1951.15, 101332.86, 16.78, 17.47, 0, 2, 21, 45, -33, 34
12406208, 4186550, 1.00, -0.01, -0.00, 1951.23, 101323.03, 17.60, 17.46, 0, 2, 20, 50, -29, 34
12406272, 4186650, 0.99, -0.00, -0.00, 1950.90, 101328.47, 17.14, 17.47, 0, 2, 8, 50, -38, 34
12406336, 4186750, 1.00, 0.00, 0.01, 1951.23, 101325.38, 17.40, 17.44, 0, 2, 17, 49, -36, 34
12406400, 4186849, 1.00, -0.00, 0.00, 1951.04, 101322.91, 17.61, 17.44, 0, 2, 30, 43, -38, 34
12406464, 4186949, 1.00, 0.00, 0.00, 1950.93, 101322.35, 17.65, 17.46, 0, 2, 17, 43, -35, 34
12406528, 4187049, 1.00, -0.00, 0.00, 1950.87, 101324.00, 17.52, 17.47, 0, 2, 8, 43, -27, 34
12406592, 4187150, 1.00, -0.01, -0.00, 1951.15, 101325.21, 17.42, 17.48, 0, 2, 15, 40, -26, 34
12406656, 4187248, 1.00, -0.00, -0.00, 1950.90, 101322.60, 17.63, 17.48, 0, 2, 17, 50, -31, 34
12406720, 4187351, 1.00, -0.00, -0.00, 1950.82, 101321.82, 17.70, 17.47, 0, 2, 19, 48, -32, 34
12406784, 4187449, 1.00, -0.00, 0.00, 1951.01, 101323.71, 17.54, 17.48, 0, 2, 20, 47, -33, 34
12406848, 4187547, 1.00, 0.00, 0.01, 1951.04, 101319.96, 17.85, 17.47, 0, 2, 20, 44, -31, 34
12406912, 4187648, 1.00, 0.00, 0.00, 1950.85, 101328.36, 17.15, 17.49, 0, 2, 17, 44, -33, 34
12406976, 4187748, 1.00, -0.00, 0.00, 1951.04, 101324.38, 17.49, 17.47, 0, 2, 14, 38, -26, 34
12407040, 4187846, 1.00, 0.00, -0.00, 1951.07, 101326.49, 17.31, 17.46, 0, 2, 5, 45, -26, 34
12407104, 4187949, 1.00, -0.00, -0.00, 1950.65, 101320.85, 17.78, 17.45, 0, 2, 12, 40, -24, 34
12407168, 4188049, 1.00, -0.01, 0.00, 1950.90, 101326.11, 17.34, 17.44, 0, 2, 22, 45, -33, 34
12407232, 4188149, 1.00, -0.00, -0.00, 1950.32, 101327.17, 17.25, 17.43, 0, 2, 17, 41, -38, 34
12407296, 4188250, 0.99, 0.00, 0.00, 1950.57, 101325.10, 17.43, 17.43, 0, 2, 13, 48, -30, 34
12407360, 4188350, 1.00, -0.00, -0.00, 1950.71, 101325.38, 17.40, 17.45, 0, 2, 18, 48, -32, 34
12407424, 4188450, 1.00, 0.00, 0.01, 1950.60, 101327.80, 17.20, 17.45, 0, 2, 20, 37, -34, 34
12407488, 4188551, 1.00, 0.01, -0.00, 1950.82, 101331.22, 16.92, 17.47, 0, 2, 5, 33, -22, 34
12407552, 4188651, 1.00, -0.01, 0.00, 1950.65, 101324.97, 17.44, 17.44, 0, 2, 2, 39, -24, 34
12407616, 4188751, 1.00, -0.00, -0.01, 1950.65, 101324.38, 17.49, 17.45, 0, 2, 5, 42, -28, 34
12407680, 4188852, 1.00, -0.00, -0.00, 1950.49, 101327.52, 17.23, 17.46, 0, 2, 6, 42, -31, 34
12407744, 4188952, 0.99, -0.01, -0.00, 1950.49, 101331.94, 16.86, 17.44, 0, 2, 14, 49, -39, 34
12407808, 4189052, 1.00, -0.00, -0.00, 1950.49, 101324.58, 17.47, 17.40, 0, 2, 25, 49, -39, 34
