,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg
34071,4330363,0,4,1341,12,-47,105,70,3918,-1397,-3244,-11,1347,1,36,17,-2,3959,1324,-653,-192,-16,-3840,34.89,0.9890056748087837,32.53,0.9981939304219096,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9935998026153466,38.999776204427086,-76.1046630859375,0.0287138712,9.626325319800001,0.0861416136,-0.07896314580000001,9.6693961266,0.0071784678,-0.0574211496125,0.1282812916875,0.085520861125,0.04398215715,0.0207693519875,-0.002443453175,2.27244,-0.81026,-1.88152,2.29622,0.76792,-0.37874,-0.025124637300000002,9.6478607232,0.0466600407,-0.00671949623125,0.07452532183749999,0.041538703975,2.2843299999999997,-0.021169999999999967,-1.13013,-5.64864,-0.47072,-112.9728,33.71
34072,4330514,0,9,1347,13,-55,113,71,3899,-1392,-3258,-2,1348,1,24,9,0,3964,1326,-629,-176,-64,-3904,34.9,0.9888181593881076,32.53,0.9981544534912412,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9934863064396744,38.999776204427086,-76.1046630859375,0.0646062102,9.6693961266,0.0933200814,-0.0143569356,9.6765745944,0.0071784678,-0.06719496231250001,0.13805510438750002,0.0867425877125,0.0293214381,0.0109955392875,0.0,2.26142,-0.80736,-1.88964,2.29912,0.76908,-0.36482,0.0251246373,9.6729853605,0.050249274600000005,-0.018936762106250005,0.0745253218375,0.04337129385625,2.28027,-0.01913999999999999,-1.12723,-5.17792,-1.88288,-114.85568,33.715
34073,4330664,0,9,1345,14,-45,112,81,3917,-1409,-3255,-4,1350,-1,37,22,-3,3964,1326,-629,-176,-16,-3744,34.89,0.989094497902788,32.54,0.998282753515914,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.993688625709351,38.999776204427086,-76.1046630859375,0.0646062102,9.655039191,0.10049854920000001,-0.0287138712,9.69093153,-0.0071784678,-0.0549776964375,0.13683337780000002,0.09895985358750001,0.0452038837375,0.026877984925,-0.0036651797625,2.27186,-0.8172200000000001,-1.8879,2.29912,0.76908,-0.36482,0.017946169499999998,9.6729853605,0.0466600407,-0.004886906350000001,0.08185568136250002,0.047647336912500005,2.2854900000000002,-0.024070000000000036,-1.12636,-5.17792,-0.47072,-110.14848,33.715
34074,4331263,0,8,1338,18,-56,102,79,3894,-1411,-3215,0,1351,4,27,8,1,3962,1363,-648,-160,-48,-3920,34.83,0.9892622748581298,32.49,0.9984900074019244,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9938761411300271,38.999776204427086,-76.1046630859375,0.0574277424,9.6047899164,0.1292124204,0.0,9.6981099978,0.0287138712,-0.06841668890000001,0.12461611192500001,0.09651640041250001,0.032986617862500005,0.0097738127,0.0012217265875,2.25852,-0.81838,-1.8647,2.2979600000000002,0.79054,-0.37584,0.0287138712,9.651449957099999,0.0789631458,-0.017715035518750002,0.06719496231250001,0.048869063500000004,2.2782400000000003,-0.013919999999999988,-1.12027,-4.7072,-1.41216,-115.3264,33.66
34075,4331413,0,7,1346,10,-54,98,75,3894,-1411,-3215,1,1348,0,27,9,5,3972,1340,-643,-208,-32,-3840,34.84,0.9891833209967924,32.52,0.998519615099926,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9938514680483592,38.999776204427086,-76.1046630859375,0.050249274600000005,9.6622176588,0.071784678,0.0071784678,9.6765745944,0.0,-0.06597323572500001,0.11972920557500001,0.09162949406250001,0.032986617862500005,0.0109955392875,0.0061086329375000005,2.25852,-0.81838,-1.8647,2.30376,0.7772,-0.37294,0.0287138712,9.669396126599999,0.035892339,-0.016493308931250002,0.06536237243125001,0.048869063500000004,2.2811399999999997,-0.020589999999999997,-1.11882,-6.11936,-0.94144,-112.9728,33.68000000000001
34076,4331563,0,7,1345,9,-56,108,83,3886,-1387,-3248,-4,1344,2,34,4,13,3940,1306,-656,-208,-128,-3872,34.85,0.9891339748334568,32.52,0.99840118430792,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937675795706884,38.999776204427086,-76.1046630859375,0.050249274600000005,9.655039191,0.0646062102,-0.0287138712,9.6478607232,0.0143569356,-0.06841668890000001,0.13194647145000002,0.1014033067625,0.041538703975,0.00488690635,0.0158824456375,2.25388,-0.80446,-1.88384,2.2852,0.75748,-0.38048,0.010767701700000002,9.6514499571,0.0394815729,-0.013438992462500004,0.06841668890000001,0.0586428762,2.26954,-0.023489999999999955,-1.13216,-6.11936,-3.76576,-113.91424,33.685
34077,4331714,0,6,1342,9,-44,118,80,3913,-1395,-3246,-10,1341,-1,47,14,-7,3979,1319,-642,-208,-64,-3904,34.87,0.988976067110782,32.54,0.9982235381199112,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9935998026153465,38.999776204427086,-76.1046630859375,0.0430708068,9.6335037876,0.0646062102,-0.071784678,9.626325319800001,-0.0071784678,-0.05375596985,0.144163737325,0.09773812700000001,0.0574211496125,0.017104172225000002,-0.008552086112500001,2.26954,-0.8091,-1.88268,2.30782,0.76502,-0.37236,-0.014356935600000002,9.6299145537,0.0287138712,0.0018325898812499991,0.080633954775,0.044593020443750006,2.2886800000000003,-0.022040000000000004,-1.12752,-6.11936,-1.88288,-114.85568,33.705
34078,4331864,0,6,1342,22,-39,119,71,3923,-1422,-3221,-2,1346,3,45,13,-8,3979,1319,-642,-208,16,-3824,34.87,0.988906982482112,32.53,0.9984209227732544,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936639526276831,38.999776204427086,-76.1046630859375,0.0430708068,9.6335037876,0.15792629160000002,-0.0143569356,9.6622176588,0.0215354034,-0.047647336912500005,0.1453854639125,0.0867425877125,0.0549776964375,0.0158824456375,-0.0097738127,2.27534,-0.82476,-1.86818,2.30782,0.76502,-0.37236,0.014356935599999999,9.6478607232,0.08973084750000002,0.0036651797624999982,0.080633954775,0.03848438750625,2.2915799999999997,-0.029870000000000008,-1.12027,-6.11936,0.47072,-112.50208,33.7
34079,4332015,0,11,1341,16,-30,96,78,3923,-1422,-3221,-10,1349,4,35,16,3,3958,1305,-640,-160,-64,-3808,34.87,0.9888477670861092,32.52,0.998272884283247,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9935603256846781,38.999776204427086,-76.1046630859375,0.07896314580000001,9.626325319800001,0.1148554848,-0.071784678,9.683753062200001,0.0287138712,-0.036651797625,0.1172857524,0.09529467382500001,0.0427604305625,0.0195476254,0.0036651797625,2.27534,-0.82476,-1.86818,2.29564,0.7569,-0.3712,0.0035892339000000023,9.655039191,0.071784678,0.0030543164687499985,0.0684166889,0.049479926793750004,2.2854900000000002,-0.033930000000000016,-1.1196899999999999,-4.7072,-1.88288,-112.03136,33.695
34080,4332165,0,8,1341,19,-43,96,83,3900,-1406,-3240,-3,1349,2,28,2,7,3979,1284,-639,-192,-32,-3824,34.87,0.988906982482112,32.55,0.9983123612139156,3859.986572265625,-7606.27978515625,20.100000381469727,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936096718480139,38.999776204427086,-76.1046630859375,0.0574277424,9.626325319800001,0.1363908882,-0.0215354034,9.683753062200001,0.0143569356,-0.0525342432625,0.1172857524,0.1014033067625,0.034208344450000004,0.002443453175,0.008552086112500001,2.262,-0.81548,-1.8792,2.30782,0.74472,-0.37062,0.0179461695,9.655039191,0.0753739119,-0.009162949406249999,0.0598646027875,0.0549776964375,2.28491,-0.03537999999999997,-1.12491,-5.64864,-0.94144,-112.50208,33.709999999999994
