Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Grove  - XBee Carrier v1.0.brd" as of: 8/8/2019 7:16 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
ASSOC,Bottom,0.320,1.458,270
C1,Bottom,1.195,0.307,90
C2,Bottom,0.959,0.297,270
C3,Bottom,0.812,0.996,180
C4,Bottom,1.168,0.507,180
C8,Bottom,1.142,0.921,180
C17,Bottom,1.150,0.423,180
CH,Bottom,1.367,1.467,270
D1,Bottom,1.210,1.149,270
D2,Bottom,1.080,1.149,270
D3,Bottom,1.108,0.605,0
OK,Bottom,1.431,1.467,270
PWR,Bottom,1.505,1.459,90
Q1,Bottom,0.835,0.501,90
Q2,Bottom,0.662,0.293,180
Q3,Bottom,0.820,0.296,180
R1,Bottom,0.999,1.475,270
R3,Bottom,1.081,1.477,270
R4,Bottom,1.302,1.463,270
R5,Bottom,1.581,1.465,90
R7,Bottom,0.474,1.288,270
R8,Bottom,0.674,0.874,90
R9,Bottom,0.533,1.287,270
R10,Bottom,0.661,0.476,180
R11,Bottom,0.405,1.286,90
RX,Bottom,0.459,1.458,90
TX,Bottom,0.390,1.458,90
U2,Bottom,1.069,0.299,0
U3,Bottom,0.850,0.797,180
U4,Bottom,0.804,1.212,180
X3,Bottom,1.005,1.860,270
X4,Bottom,1.465,1.860,270
